Stock,Year,Close,EPS(TTM),PE(TTM),Prev_EPS,Prev_PE,Prev_Close,FR%,SR%,TR%
POWERGRID.NS,2012-05-16,77.18,5.35,14.43,,,,,,
POWERGRID.NS,2013-05-16,85.31,6.99,12.2,5.35,14.43,77.18,30.65,-20.2,10.45
POWERGRID.NS,2014-05-16,85.84,6.52,13.17,6.99,12.2,85.31,-6.72,7.41,0.6900000000000004
POWERGRID.NS,2015-05-16,105.04,7.23,14.53,6.52,13.17,85.84,10.89,11.45,22.34
POWERGRID.NS,2016-05-16,108.56,8.54,12.71,7.23,14.53,105.04,18.12,-14.8,3.3200000000000003
POWERGRID.NS,2017-05-16,155.03,10.68,14.52,8.54,12.71,108.56,25.06,17.81,42.87
POWERGRID.NS,2018-05-16,160.39,11.76,13.64,10.68,14.52,155.03,10.11,-6.68,3.4299999999999997
POWERGRID.NS,2019-05-16,133.88,14.38,9.31,11.76,13.64,160.39,22.28,-38.82,-16.54
POWERGRID.NS,2020-05-16,119.85,15.85,7.56,14.38,9.31,133.88,10.22,-20.72,-10.499999999999998
POWERGRID.NS,2021-05-16,171.64,17.26,9.94,15.85,7.56,119.85,8.9,34.28,43.18
POWERGRID.NS,2021-11-15,182.0,23.33,7.8,17.26,9.94,171.64,35.17,-29.09,6.080000000000002
JSWSTEEL.NS,2012-05-16,65.3,2.41,27.1,,,,,,
JSWSTEEL.NS,2013-05-16,69.28,4.32,16.04,2.41,27.1,65.3,79.25,-73.17,6.079999999999998
JSWSTEEL.NS,2014-05-16,115.59,1.87,61.81,4.32,16.04,69.28,-56.71,123.54,66.83000000000001
JSWSTEEL.NS,2015-05-16,87.63,7.43,11.79,1.87,61.81,115.59,297.33,-321.52,-24.189999999999998
JSWSTEEL.NS,2016-05-16,126.87,-1.39,-91.27,7.43,11.79,87.63,-118.71,163.48,44.769999999999996
JSWSTEEL.NS,2017-05-16,201.7,14.57,13.84,-1.39,-91.27,126.87,-1148.2,1207.1,58.899999999999864
JSWSTEEL.NS,2018-05-16,334.55,25.71,13.01,14.57,13.84,201.7,76.46,-10.58,65.88
JSWSTEEL.NS,2019-05-16,268.5,31.6,8.5,25.71,13.01,334.55,22.91,-42.6,-19.69
JSWSTEEL.NS,2020-05-16,174.3,16.67,10.46,31.6,8.5,268.5,-47.25,12.17,-35.08
JSWSTEEL.NS,2021-05-16,707.1,32.73,21.6,16.67,10.46,174.3,96.34,209.19,305.53
JSWSTEEL.NS,2021-11-15,671.35,82.54,8.13,32.73,21.6,707.1,152.18,-157.24,-5.060000000000002
COALINDIA.NS,2012-05-16,314.2,23.41,13.42,,,,,,
COALINDIA.NS,2013-05-16,300.15,27.48,10.92,23.41,13.42,314.2,17.39,-21.87,-4.48
COALINDIA.NS,2014-05-16,340.35,23.92,14.23,27.48,10.92,300.15,-12.95,26.38,13.43
COALINDIA.NS,2015-05-16,366.9,21.73,16.88,23.92,14.23,340.35,-9.16,16.92,7.760000000000002
COALINDIA.NS,2016-05-16,281.45,22.59,12.46,21.73,16.88,366.9,3.96,-27.21,-23.25
COALINDIA.NS,2017-05-16,277.75,14.95,18.58,22.59,12.46,281.45,-33.82,32.51,-1.3100000000000023
COALINDIA.NS,2018-05-16,263.5,11.34,23.24,14.95,18.58,277.75,-24.15,19.03,-5.119999999999997
COALINDIA.NS,2019-05-16,235.1,28.34,8.3,11.34,23.24,263.5,149.91,-160.68,-10.77000000000001
COALINDIA.NS,2020-05-16,129.6,27.12,4.78,28.34,8.3,235.1,-4.3,-40.61,-44.91
COALINDIA.NS,2021-05-16,146.8,20.61,7.12,27.12,4.78,129.6,-24.0,37.21,13.21
COALINDIA.NS,2021-11-15,166.95,22.36,7.47,20.61,7.12,146.8,8.49,5.33,13.82
NTPC.NS,2012-05-16,119.5,9.92,12.05,,,,,,
NTPC.NS,2013-05-16,131.08,12.72,10.31,9.92,12.05,119.5,28.23,-18.52,9.71
NTPC.NS,2014-05-16,107.75,11.53,9.35,12.72,10.31,131.08,-9.36,-8.44,-17.799999999999997
NTPC.NS,2015-05-16,113.42,10.09,11.24,11.53,9.35,107.75,-12.49,17.7,5.209999999999999
NTPC.NS,2016-05-16,117.5,10.92,10.76,10.09,11.24,113.42,8.23,-4.62,3.6100000000000003
NTPC.NS,2017-05-16,133.12,10.83,12.29,10.92,10.76,117.5,-0.82,14.1,13.28
NTPC.NS,2018-05-16,141.75,10.66,13.3,10.83,12.29,133.12,-1.57,8.09,6.52
NTPC.NS,2019-05-16,123.95,13.88,8.93,10.66,13.3,141.75,30.21,-42.79,-12.579999999999998
NTPC.NS,2020-05-16,90.85,11.72,7.75,13.88,8.93,123.95,-15.56,-11.16,-26.72
NTPC.NS,2021-05-16,111.4,15.09,7.38,11.72,7.75,90.85,28.75,-6.15,22.6
NTPC.NS,2021-11-15,136.45,15.79,8.64,15.09,7.38,111.4,4.64,17.86,22.5
ADANIPORTS.NS,2012-05-16,114.7,5.5,20.85,,,,,,
ADANIPORTS.NS,2013-05-16,152.5,8.1,18.83,5.5,20.85,114.7,47.27,-14.27,33.0
ADANIPORTS.NS,2014-05-16,220.4,8.4,26.24,8.1,18.83,152.5,3.7,40.82,44.52
ADANIPORTS.NS,2015-05-16,329.0,11.18,29.43,8.4,26.24,220.4,33.1,16.18,49.28
ADANIPORTS.NS,2016-05-16,188.55,13.99,13.48,11.18,29.43,329.0,25.13,-67.82,-42.69
ADANIPORTS.NS,2017-05-16,356.2,18.89,18.86,13.99,13.48,188.55,35.03,53.9,88.93
ADANIPORTS.NS,2018-05-16,409.15,17.74,23.06,18.89,18.86,356.2,-6.09,20.92,14.830000000000002
ADANIPORTS.NS,2019-05-16,360.15,19.27,18.69,17.74,23.06,409.15,8.62,-20.58,-11.959999999999999
ADANIPORTS.NS,2020-05-16,309.25,18.52,16.7,19.27,18.69,360.15,-3.89,-10.23,-14.120000000000001
ADANIPORTS.NS,2021-05-16,733.55,24.58,29.84,18.52,16.7,309.25,32.72,104.44,137.16
ADANIPORTS.NS,2021-11-15,750.3,25.09,29.9,24.58,29.84,733.55,2.07,0.21,2.28
BRITANNIA.NS,2012-05-16,265.25,8.35,31.77,,,,,,
BRITANNIA.NS,2013-05-16,285.27,10.85,26.29,8.35,31.77,265.25,29.94,-22.42,7.52
BRITANNIA.NS,2014-05-16,440.8,16.48,26.75,10.85,26.29,285.27,51.89,2.66,54.55
BRITANNIA.NS,2015-05-16,1131.95,28.71,39.43,16.48,26.75,440.8,74.21,82.59,156.8
BRITANNIA.NS,2016-05-16,1477.0,34.36,42.99,28.71,39.43,1131.95,19.68,10.81,30.490000000000002
BRITANNIA.NS,2017-05-16,1870.78,36.85,50.77,34.36,42.99,1477.0,7.25,19.41,26.66
BRITANNIA.NS,2018-05-16,2727.4,41.83,65.2,36.85,50.77,1870.78,13.51,32.26,45.769999999999996
BRITANNIA.NS,2019-05-16,2687.75,48.23,55.73,41.83,65.2,2727.4,15.3,-16.75,-1.4499999999999993
BRITANNIA.NS,2020-05-16,3125.65,58.33,53.59,48.23,55.73,2687.75,20.94,-4.64,16.3
BRITANNIA.NS,2021-05-16,3501.45,77.38,45.25,58.33,53.59,3125.65,32.66,-20.65,12.009999999999998
BRITANNIA.NS,2021-11-15,3687.95,66.17,55.73,77.38,45.25,3501.45,-14.49,19.8,5.3100000000000005
DIVISLAB.NS,2012-05-16,448.67,20.09,22.33,,,,,,
DIVISLAB.NS,2013-05-16,571.2,22.67,25.2,20.09,22.33,448.67,12.84,14.5,27.34
DIVISLAB.NS,2014-05-16,664.03,29.13,22.8,22.67,25.2,571.2,28.5,-12.24,16.259999999999998
DIVISLAB.NS,2015-05-16,897.5,32.07,27.99,29.13,22.8,664.03,10.09,25.07,35.16
DIVISLAB.NS,2016-05-16,1078.6,42.41,25.43,32.07,27.99,897.5,32.24,-12.1,20.14
DIVISLAB.NS,2017-05-16,624.25,39.95,15.63,42.41,25.43,1078.6,-5.8,-36.3,-42.099999999999994
DIVISLAB.NS,2018-05-16,1149.85,33.04,34.8,39.95,15.63,624.25,-17.3,101.46,84.16
